timestamp,field,top_k,reciprocal,unique_pairs,directed_edges,reciprocal_pairs,one_way_pairs,avg_score,min_score,max_score,p50,p75,p90,p95,unique_pairs_ge_07,unique_pairs_ge_08,unique_pairs_ge_085,unique_pairs_ge_09
2026-05-19T01:56:47.103606,attacker_action,10,True,26798,53596,26798,0,0.9299515428702747,0.8451368915179647,0.9997684959151986,0.9292177010223566,0.9488377199164815,0.9664967585918376,0.9771533913691164,26798,26798,26793,23029
2026-05-19T01:56:58.943038,attacker_action,15,True,39839,79678,39839,0,0.9260618606875879,0.8451368915179647,0.9997684959151986,0.9249212588535491,0.9441383670071655,0.9614826356841025,0.9723758664229035,39839,39839,39829,33017
2026-05-19T01:57:17.765440,attacker_action,20,True,52861,105722,52861,0,0.9229691757186709,0.842449555478465,0.9997684959151986,0.921608397508342,0.9405655913557782,0.9576228736692637,0.9682138997104683,52861,52861,52841,42241
2026-05-19T01:57:38.187014,attacker_action,25,True,65829,131658,65829,0,0.9205028753931194,0.8407760330668125,0.9997684959151986,0.9190653857406874,0.9377544891584431,0.9546403187777487,0.9650539055118104,65829,65829,65800,50864
2026-05-19T01:57:49.478248,consequences,5,True,13666,27332,13666,0,0.9521746998926255,0.8403021335381671,0.9997566401112046,0.954499057883986,0.9754327761220781,0.9882044970289862,0.9940247001830833,13666,13666,13662,13074
2026-05-19T01:58:00.198662,consequences,10,True,27123,54246,27123,0,0.9476478091458601,0.8379208871527313,0.9997566401112046,0.9489001527416154,0.9696926009524898,0.9839571663754837,0.9904322118093624,27123,27123,27113,25748
2026-05-19T01:58:12.148767,consequences,15,True,40420,80840,40420,0,0.9442586708252827,0.838130179318631,0.9997566401112046,0.9449271708358657,0.965616997017843,0.9809267334879513,0.987905027730067,40420,40420,40404,37925
2026-05-19T01:58:28.412417,consequences,20,True,53703,107406,53703,0,0.9415756959275119,0.8371804760427448,0.9997566401112046,0.9419634088932667,0.9624032108223843,0.9783802794012797,0.985812307330491,53703,53703,53677,49848
2026-05-19T01:58:48.399838,consequences,25,True,66924,133848,66924,0,0.9394039096185752,0.8360067747395106,0.9997566401112046,0.9395409826447725,0.9598412687632294,0.9760002703861657,0.984061635537292,66924,66924,66882,61473
2026-05-19T01:58:59.615595,trigger,5,True,12307,24614,12307,0,0.9223531351331864,0.8453413706769014,0.9997610412777105,0.9202456349329791,0.9416765997626977,0.9621255095787158,0.9742304360310791,12307,12307,12301,9391
2026-05-19T01:59:10.135452,trigger,10,True,24232,48464,24232,0,0.9164083795804906,0.8410641553256069,0.9997610412777105,0.9145512811945354,0.9336646451772941,0.9522774956363562,0.9644427242723279,24232,24232,24203,17109
2026-05-19T01:59:21.488456,trigger,15,True,36148,72296,36148,0,0.9121741369062805,0.8399219964567113,0.9997610412777105,0.9105438771523702,0.9287312432309279,0.9459564121765947,0.9580653852333669,36148,36148,36092,23687
2026-05-19T01:59:35.532572,trigger,20,True,47822,95644,47822,0,0.9090193805171942,0.8385600356216747,0.9997610412777105,0.9074465020441158,0.9249298585232881,0.941660505872222,0.9532420758840913,47822,47822,47724,29320
2026-05-19T01:59:53.392396,trigger,25,True,59434,118868,59434,0,0.9064699680540779,0.8380980183863045,0.9997610412777105,0.9049138820754017,0.9218802996508356,0.9381264750407232,0.9496277943725786,59434,59434,59283,34277
2026-05-19T01:59:58.092452,vulnerability_type,5,True,3574,7148,3574,0,0.9395068489866507,0.8507904755484805,0.9992308365668924,0.9407307209284625,0.9623939123972782,0.9789947353127986,0.9860765295020579,3574,3574,3574,3200
2026-05-19T02:00:02.947092,vulnerability_type,10,True,7095,14190,7095,0,0.9302416755356541,0.8360748703055354,0.9992308365668924,0.9300440010371789,0.9515443705263379,0.9712348088214562,0.9794714734721068,7095,7095,7087,5984
2026-05-19T02:00:09.531713,vulnerability_type,15,True,10631,21262,10631,0,0.9236871429557412,0.8316217240217885,0.9992308365668924,0.9228354594867914,0.944066487962255,0.9649753233759721,0.9750493367090087,10631,10631,10591,8379
2026-05-19T02:00:15.754972,vulnerability_type,20,True,14204,28408,14204,0,0.9188236257097118,0.8289256150203317,0.9992308365668924,0.9174261945416601,0.938351819627328,0.9600362029134991,0.9714696061826205,14204,14204,14105,10470
2026-05-19T02:00:23.435417,vulnerability_type,25,True,17752,35504,17752,0,0.9150232334808608,0.8271369223396017,0.9992308365668924,0.9135999683345694,0.933933702886264,0.9557542148016287,0.967989493164716,17752,17752,17578,12292
